tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
177422768.062,5.15106676832e-09,5.81418479707e-05,5.25724000257e-17,4.10581678187e-10,5.04824840093e-11,3.26581261841e-07,0.424178808503,0.000555304452103,0.575161636813,5.05602979282e-07,4.3075111388e-07,8.09590253055e-11,4.48397549599e-05,2.14187053202e-13
177423024.062,8.49526375555e-09,0.000167486967056,5.59471705104e-17,2.79054266348e-09,8.42924058618e-11,4.16018718901e-07,0.673482031268,0.00088983768967,0.325329318844,4.17599492394e-07,6.98081582574e-07,1.5972390524e-10,0.000129782000579,1.11648178529e-12
177423280.062,2.76451189672e-09,5.00295866667e-05,5.94306260777e-17,6.23308485291e-10,2.63454090965e-11,3.13799086949e-07,0.584162397591,0.000396673385587,0.415339777505,3.64408695904e-07,7.04952836899e-07,7.24769525054e-11,4.97352844474e-05,5.75454776736e-13
177423536.062,3.66188204533e-09,8.30071445478e-05,3.87471044297e-17,7.17292509301e-10,7.33093694356e-11,2.29945208518e-07,0.745801950118,0.000436866777851,0.253516951973,3.28513676154e-07,5.29705517081e-07,7.93085643749e-11,0.000160131289024,8.08038855852e-13
177423792.062,4.67697720539e-09,0.000138096383224,3.1800105833e-17,1.51802572109e-09,8.23789670487e-11,1.86098201508e-07,0.882731940554,0.000405417487561,0.11642982323,2.12273005441e-07,5.43009262127e-07,8.14280984955e-11,0.000293774603272,2.83295473465e-12
114062520.07,5.9021596358e-20,1.37503446974e-06,1.41934725032e-10,0.00543566216352,2.58766822752e-23,0.90248526067,0.000171613495044,0.000272359226511,0.091383766659,4.93555340894e-11,0.000249927646698,3.49132602676e-08,1.15757980027e-15,8.8769492469e-15
114062776.07,2.7613699412e-20,2.63945423801e-06,4.67342086238e-10,6.58356919666e-05,3.74699523745e-23,0.676261539923,0.000614442393492,4.93904396407e-05,0.322976254831,2.71585251379e-09,2.98922004134e-05,1.88195203659e-09,1.50019791847e-13,1.10611239854e-12
114063032.069,1.28683496525e-19,0.000161293143353,7.4879701703e-11,2.17546181922e-06,5.75374373944e-22,0.116987742045,0.00106121751944,0.000129949801942,0.881656871154,2.05746849062e-07,5.43008696115e-07,4.89854450076e-11,1.09292439042e-09,9.02227679146e-10
215337456.062,3.40573713671e-08,0.960151739069,7.99170737311e-10,1.68235394488e-09,3.49206939263e-08,1.50873123569e-05,4.90854455812e-08,2.79632513228e-08,2.30285529008e-08,0.00097772418535,6.08974238197e-15,3.5323810628e-11,0.028130650804,0.0107246270571
215337712.062,5.09451155521e-08,0.945322165269,1.11745242587e-09,2.31665612258e-09,2.8206277475e-08,2.05851161231e-05,4.63727450309e-07,9.97969645349e-08,1.2166131266e-07,0.000801316628152,1.60946225586e-13,6.90125842795e-11,0.0299786691717,0.0238764959748
215337968.061,1.50059507184e-07,0.928693614065,2.539327426e-09,8.47283203411e-10,1.47169258833e-08,7.61590341989e-05,6.56148077689e-06,2.34032971644e-07,2.79130710948e-06,0.000766403655054,1.72561670937e-12,1.28723905776e-10,0.0405468279156,0.0299072402159
215338224.06,1.03037475836e-07,0.945831386088,1.02499818424e-09,1.21132748617e-09,1.35080753461e-08,3.57126911751e-05,2.40839989136e-06,1.85338495513e-07,7.63188397628e-07,0.000421148228524,6.5597169202e-13,8.42150287658e-11,0.0316410814995,0.0220671956989
215338480.059,6.62355955132e-08,0.971016655797,3.97222319634e-10,4.85727506252e-09,1.05492094146e-08,2.24340289757e-05,1.44440790475e-06,3.25470906149e-07,4.6137092484e-07,0.000298364190085,7.75962928401e-13,9.71178870912e-11,0.0183799298399,0.0102803027575
215338736.058,9.80201143372e-08,0.972331658997,2.66662368749e-10,4.66718999084e-09,1.23152185629e-08,2.34494397905e-05,1.34873208095e-06,3.09045353472e-07,6.43618690582e-07,0.000239185432888,5.12997730093e-13,1.12581121195e-10,0.022070738561,0.00533255079089
215338992.057,9.01816247277e-08,0.974927156707,2.56083418869e-10,1.44672246069e-08,1.81840199829e-08,1.7632586371e-05,1.15006005151e-06,3.78379859579e-07,3.38320400215e-07,0.000233653192357,9.65339105138e-13,1.70097281473e-10,0.0181521552732,0.00666741222084
215339248.056,3.65390368813e-08,0.97150666357,1.17019037777e-10,1.7434216443e-08,1.65361474509e-08,7.46466971267e-06,4.10836708854e-07,2.36740515136e-07,7.2666673515e-08,0.00018964523341,2.94426014236e-13,8.29379570933e-11,0.0206934053819,0.00760203019114
